"run_id","source_file","curation_status","scenario_id","treatment","treatment_pair_id","repetition"
"phase05_20260505_132244_43a2b196","data/logs/phase05_experiments/raw/phase05_20260505_132244_43a2b196_baseline_descent.csv","accepted","P05_PILOT_CENTER_H2_YAW0","T0","P05_PAIR_PILOT_CENTER_R01","1"
"phase05_20260505_132414_3529bb30","data/logs/phase05_experiments/raw/phase05_20260505_132414_3529bb30_mavlink_visual_servo.csv","accepted","P05_PILOT_CENTER_H2_YAW0","T1","P05_PAIR_PILOT_CENTER_R01","1"
"phase05_20260505_132929_eef8d7ba","data/logs/phase05_experiments/raw/phase05_20260505_132929_eef8d7ba_baseline_descent.csv","accepted","P05_PILOT_OFFSET_Y_POS_H2_YAW0","T0","P05_PAIR_PILOT_YPOS_R01","1"
"phase05_20260505_133149_3b8adca2","data/logs/phase05_experiments/raw/phase05_20260505_133149_3b8adca2_mavlink_visual_servo.csv","superseded","P05_PILOT_OFFSET_Y_POS_H2_YAW0","T1","P05_PAIR_PILOT_YPOS_R01","1"
"phase05_20260505_154421_71272606","data/logs/phase05_experiments/raw/phase05_20260505_154421_71272606_mavlink_visual_servo.csv","accepted","P05_PILOT_OFFSET_Y_POS_H2_YAW0","T1","P05_PAIR_PILOT_YPOS_R01","1"
"phase05_20260505_164143_5ec5680e","data/logs/phase05_experiments/raw/phase05_20260505_164143_5ec5680e_baseline_descent.csv","accepted","P05_S01_H2_Y04_YAW0","T0","P05_S01_H2_Y04_YAW0_R01","1"
"phase05_20260505_164539_85f27d44","data/logs/phase05_experiments/raw/phase05_20260505_164539_85f27d44_mavlink_visual_servo.csv","accepted","P05_S01_H2_Y04_YAW0","T1","P05_S01_H2_Y04_YAW0_R01","1"
"phase05_20260505_164848_2e00f2f9","data/logs/phase05_experiments/raw/phase05_20260505_164848_2e00f2f9_mavlink_visual_servo.csv","accepted","P05_S01_H2_Y04_YAW0","T1","P05_S01_H2_Y04_YAW0_R02","2"
"phase05_20260505_165111_feb19818","data/logs/phase05_experiments/raw/phase05_20260505_165111_feb19818_baseline_descent.csv","accepted","P05_S01_H2_Y04_YAW0","T0","P05_S01_H2_Y04_YAW0_R02","2"
"phase05_20260505_165322_bd0f0c54","data/logs/phase05_experiments/raw/phase05_20260505_165322_bd0f0c54_baseline_descent.csv","accepted","P05_S01_H2_Y04_YAW0","T0","P05_S01_H2_Y04_YAW0_R03","3"
"phase05_20260505_165530_d9672e22","data/logs/phase05_experiments/raw/phase05_20260505_165530_d9672e22_mavlink_visual_servo.csv","accepted","P05_S01_H2_Y04_YAW0","T1","P05_S01_H2_Y04_YAW0_R03","3"
"phase05_20260505_165745_2f6b6a6b","data/logs/phase05_experiments/raw/phase05_20260505_165745_2f6b6a6b_mavlink_visual_servo.csv","accepted","P05_S01_H2_Y04_YAW0","T1","P05_S01_H2_Y04_YAW0_R04","4"
"phase05_20260505_170004_fe1e3d39","data/logs/phase05_experiments/raw/phase05_20260505_170004_fe1e3d39_baseline_descent.csv","accepted","P05_S01_H2_Y04_YAW0","T0","P05_S01_H2_Y04_YAW0_R04","4"
"phase05_20260505_170604_78ce63e2","data/logs/phase05_experiments/raw/phase05_20260505_170604_78ce63e2_baseline_descent.csv","accepted","P05_S01_H2_Y04_YAW0","T0","P05_S01_H2_Y04_YAW0_R05","5"
"phase05_20260505_170905_3196fab0","data/logs/phase05_experiments/raw/phase05_20260505_170905_3196fab0_mavlink_visual_servo.csv","accepted","P05_S01_H2_Y04_YAW0","T1","P05_S01_H2_Y04_YAW0_R05","5"
"phase05_20260505_171329_70a51954","data/logs/phase05_experiments/raw/phase05_20260505_171329_70a51954_mavlink_visual_servo.csv","accepted","P05_S01_H2_Y04_YAW0","T1","P05_S01_H2_Y04_YAW0_R06","6"
"phase05_20260505_171508_8d09c7cd","data/logs/phase05_experiments/raw/phase05_20260505_171508_8d09c7cd_baseline_descent.csv","accepted","P05_S01_H2_Y04_YAW0","T0","P05_S01_H2_Y04_YAW0_R06","6"
"phase05_20260505_171646_b0d3f4a0","data/logs/phase05_experiments/raw/phase05_20260505_171646_b0d3f4a0_baseline_descent.csv","accepted","P05_S01_H2_Y04_YAW0","T0","P05_S01_H2_Y04_YAW0_R07","7"
"phase05_20260505_171818_30801bff","data/logs/phase05_experiments/raw/phase05_20260505_171818_30801bff_mavlink_visual_servo.csv","accepted","P05_S01_H2_Y04_YAW0","T1","P05_S01_H2_Y04_YAW0_R07","7"
"phase05_20260505_172001_9faa9dc1","data/logs/phase05_experiments/raw/phase05_20260505_172001_9faa9dc1_mavlink_visual_servo.csv","accepted","P05_S01_H2_Y04_YAW0","T1","P05_S01_H2_Y04_YAW0_R08","8"
"phase05_20260505_172209_d6f7df3f","data/logs/phase05_experiments/raw/phase05_20260505_172209_d6f7df3f_baseline_descent.csv","accepted","P05_S01_H2_Y04_YAW0","T0","P05_S01_H2_Y04_YAW0_R08","8"
