run_id,source_file,phase,treatment,scenario_id,experiment_id,treatment_pair_id,repetition,curation_status,curation_reason,superseded_by,planned_initial_height_m,planned_offset_x_m,planned_offset_y_m,planned_yaw_deg,visual_samples,accepted_detections,accepted_detection_rate,lost_detection_count,latency_ms_mean,latency_ms_max,mean_abs_error_x_norm,std_error_x_norm,mean_abs_error_y_norm,std_error_y_norm,command_count,descent_command_count,max_abs_horizontal_command_m_s,landing_time_s,total_duration_s,start_altitude_m,last_visual_altitude_m,final_error_x_m,final_error_y_m,final_error_m,landing_success,landing_threshold_reached,aborted,abort_reason,terminal_event,terminal_mode,terminal_armed,terminal_status,status,notes
phase05_20260505_164143_5ec5680e,data/logs/phase05_experiments/raw/phase05_20260505_164143_5ec5680e_baseline_descent.csv,fase05,T0,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R01,1,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,86,71,0.8255813953488372,15,103.20627906976743,202.97,0.2907091785484636,0.08535917872764899,0.05926353562046104,0.0253017515735644,86,86,0.0,20.738,28.387,2.1861724853515625,0.7858352661132812,0.007690371945500374,-0.40766539610922337,0.40773792686669474,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_164539_85f27d44,data/logs/phase05_experiments/raw/phase05_20260505_164539_85f27d44_mavlink_visual_servo.csv,fase05,T1,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R01,1,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,119,118,0.9915966386554622,1,85.60773109243698,149.94,0.06260332980398405,0.05278351272734787,0.021500770116256455,0.01313048443965634,119,80,0.051349544525146486,26.795,34.399,2.2029190063476562,0.7921066284179688,0.02531084604561329,0.00711667537689209,0.026292318193054033,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_164848_2e00f2f9,data/logs/phase05_experiments/raw/phase05_20260505_164848_2e00f2f9_mavlink_visual_servo.csv,fase05,T1,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R02,2,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,126,125,0.9920634920634921,1,91.29928571428572,180.25,0.06044634246826172,0.06139216256630216,0.020843996683756513,0.014076550725884427,126,84,0.04843249320983887,28.23,35.774,2.19500732421875,0.7781295776367188,0.01847173273563385,0.015852808952331543,0.02434166103485566,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_165111_feb19818,data/logs/phase05_experiments/raw/phase05_20260505_165111_feb19818_baseline_descent.csv,fase05,T0,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R02,2,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,82,70,0.8536585365853658,12,108.60890243902439,224.94,0.2768244797842843,0.07842930181499935,0.022244029272170295,0.014203187352492144,82,82,0.0,19.73,27.417,2.1984786987304688,0.7957839965820312,0.006561398506164551,-0.378334105014801,0.37839099747180455,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_165322_bd0f0c54,data/logs/phase05_experiments/raw/phase05_20260505_165322_bd0f0c54_baseline_descent.csv,fase05,T0,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R03,3,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,80,63,0.7875,17,123.158125,269.42,0.3241074668036567,0.08695326109782663,0.052116867347999855,0.004457038543206661,80,80,0.0,20.005,27.642,2.20556640625,0.7801666259765625,-0.0021692514419555664,-0.5001919269561768,0.500196630780288,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_165530_d9672e22,data/logs/phase05_experiments/raw/phase05_20260505_165530_d9672e22_mavlink_visual_servo.csv,fase05,T1,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R03,3,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,112,110,0.9821428571428571,2,91.21642857142857,246.01,0.0623625711961226,0.048293862003324826,0.01924837401418975,0.01830091333249867,112,72,0.04515066146850586,25.387,32.556,2.2055511474609375,0.7984695434570312,0.00960550457239151,0.0023385286331176758,0.009886072741900367,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_165745_2f6b6a6b,data/logs/phase05_experiments/raw/phase05_20260505_165745_2f6b6a6b_mavlink_visual_servo.csv,fase05,T1,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R04,4,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,120,119,0.9916666666666667,1,91.81191666666668,194.05,0.059872309901133305,0.04936116140951869,0.021030423354033996,0.0184489976771977,120,81,0.048885679244995116,26.942,34.65,2.1991958618164062,0.7916793823242188,-0.004117399454116821,0.004284262657165527,0.005942043821812872,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_170004_fe1e3d39,data/logs/phase05_experiments/raw/phase05_20260505_170004_fe1e3d39_baseline_descent.csv,fase05,T0,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R04,4,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,81,66,0.8148148148148148,15,105.2279012345679,183.19,0.28845541115963097,0.07723630329836448,0.07420982399372139,0.013439733794556803,81,81,0.0,19.487,26.355,2.2045745849609375,0.786468505859375,-0.010606847703456879,-0.39833736419677734,0.398478557683397,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_170604_78ce63e2,data/logs/phase05_experiments/raw/phase05_20260505_170604_78ce63e2_baseline_descent.csv,fase05,T0,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R05,5,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,86,75,0.872093023255814,11,108.35686046511628,256.98,0.2678765385945638,0.06520621026762574,0.06545557149251302,0.018820603326144287,86,86,0.0,20.899,28.581,2.1970672607421875,0.7882156372070312,0.00583299994468689,-0.3592616319656372,0.3593089813669673,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_170905_3196fab0,data/logs/phase05_experiments/raw/phase05_20260505_170905_3196fab0_mavlink_visual_servo.csv,fase05,T1,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R05,5,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,130,128,0.9846153846153847,2,103.17107692307692,184.21,0.060007663816213606,0.05307810421639841,0.019637163976828256,0.01794604127370563,130,86,0.049619317054748535,29.046,36.813,2.1947784423828125,0.78973388671875,-0.0019902437925338745,-0.02284681797027588,0.022933341704179103,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_171329_70a51954,data/logs/phase05_experiments/raw/phase05_20260505_171329_70a51954_mavlink_visual_servo.csv,fase05,T1,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R06,6,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,121,119,0.9834710743801653,2,79.2009090909091,131.65,0.05865061142865349,0.05151577293991634,0.020234410903033087,0.013507864668789017,121,82,0.04575626850128174,27.201,34.219,2.1985015869140625,0.795379638671875,0.01819372922182083,0.00827646255493164,0.019987786656359,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_171508_8d09c7cd,data/logs/phase05_experiments/raw/phase05_20260505_171508_8d09c7cd_baseline_descent.csv,fase05,T0,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R06,6,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,80,70,0.875,10,91.66925,181.78,0.26264812197004045,0.06542692599785385,0.06414962496076311,0.009438348808658126,80,80,0.0,19.226,26.228,2.1949386596679688,0.7996597290039062,0.027617081999778748,-0.3731532096862793,0.3741737846473946,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_171646_b0d3f4a0,data/logs/phase05_experiments/raw/phase05_20260505_171646_b0d3f4a0_baseline_descent.csv,fase05,T0,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R07,7,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,76,68,0.8947368421052632,8,133.50052631578947,530.79,0.29138797872206745,0.061593851562456975,0.09049466170516668,0.027600439276155353,76,76,0.0,19.383,26.143,2.2033538818359375,0.7778549194335938,-0.04345185309648514,-0.362943172454834,0.3655349640856506,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_171818_30801bff,data/logs/phase05_experiments/raw/phase05_20260505_171818_30801bff_mavlink_visual_servo.csv,fase05,T1,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R07,7,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,111,108,0.972972972972973,3,114.19945945945945,198.7,0.05969979586424651,0.05846566406496329,0.027190461570833935,0.025868519035505154,111,72,0.05040280818939209,25.189,32.07,2.2042236328125,0.79010009765625,-0.029506459832191467,-0.02249622344970703,0.03710405963405995,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_172001_9faa9dc1,data/logs/phase05_experiments/raw/phase05_20260505_172001_9faa9dc1_mavlink_visual_servo.csv,fase05,T1,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R08,8,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,111,110,0.990990990990991,1,110.5808108108108,170.35,0.05988151116804643,0.05571157784976875,0.01955400698112719,0.01871713920282018,111,72,0.04609823226928711,25.212,32.061,2.1995620727539062,0.7884750366210938,-0.007493495941162109,0.020609378814697266,0.02192940894205554,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_172209_d6f7df3f,data/logs/phase05_experiments/raw/phase05_20260505_172209_d6f7df3f_baseline_descent.csv,fase05,T0,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R08,8,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,78,66,0.8461538461538461,12,133.5396153846154,263.09,0.29760135881828537,0.07987487506225552,0.06760989776765458,0.017903931865149967,78,78,0.0,19.663,26.428,2.1981048583984375,0.779052734375,-0.004739880561828613,-0.4060044288635254,0.40603209568276477,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_204624_a0d2f963,data/logs/phase05_experiments/raw/phase05_20260505_204624_a0d2f963_baseline_descent.csv,fase05,T0,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R09,9,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,73,60,0.821917808219178,13,100.18643835616437,195.5,0.3089638916651408,0.08349287079085516,0.08226364347669814,0.036606014589452375,73,73,0.0,18.006,25.052,2.003173828125,0.7844009399414062,-0.06631707772612572,-0.41189485788345337,0.41719938728258366,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_204943_14fa9d91,data/logs/phase05_experiments/raw/phase05_20260505_204943_14fa9d91_mavlink_visual_servo.csv,fase05,T1,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R09,9,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,117,117,1.0,0,81.11888888888889,126.82,0.05735911018828042,0.05090030985010973,0.019192486950474926,0.01666448886555303,117,82,0.04577353000640869,26.262,33.052,2.1974945068359375,0.7990188598632812,0.004369594156742096,0.02194744348526001,0.0223781953837506,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_205420_2950f2f8,data/logs/phase05_experiments/raw/phase05_20260505_205420_2950f2f8_mavlink_visual_servo.csv,fase05,T1,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R10,10,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,125,125,1.0,0,80.354,126.14,0.06455094604492187,0.056017961863325194,0.019518084716796873,0.012159544614113196,125,84,0.05426168441772461,27.887,35.123,2.2089157104492188,0.7965011596679688,0.010859590023756027,-0.009668827056884766,0.014540182672167787,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_205624_6dc3309e,data/logs/phase05_experiments/raw/phase05_20260505_205624_6dc3309e_baseline_descent.csv,fase05,T0,P05_S01_H2_Y04_YAW0,phase05_t0_t1_formal_v1,P05_S01_H2_Y04_YAW0_R10,10,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,0.0,81,67,0.8271604938271605,14,100.04320987654322,193.88,0.30332019862843984,0.07776680129383845,0.01898802192650031,0.022789547655030173,81,81,0.0,19.6,27.287,2.1958465576171875,0.7840652465820312,0.06552530732005835,-0.3843837380409241,0.38992874216926077,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260505_212244_60e653af,data/logs/phase05_experiments/raw/phase05_20260505_212244_60e653af_baseline_descent.csv,fase05,T0,P05_S02_H2_Y04_YAW15,phase05_t0_t1_formal_v1,P05_S02_H2_Y04_YAW15_R01,1,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,15.0,73,46,0.6301369863013698,27,123.83945205479453,218.34,0.04875457597815472,0.023259396573045623,0.3549009779225225,0.03815480159581205,73,73,0.0,18.915,26.246,2.029998779296875,0.7847061157226562,-0.004671838134527206,-0.3922734335064888,0.39230125249165965,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260506_220836_6d1110a0,data/logs/phase05_experiments/raw/phase05_20260506_220836_6d1110a0_mavlink_visual_servo.csv,fase05,T1,P05_S02_H2_Y04_YAW15,phase05_t0_t1_formal_v1,P05_S02_H2_Y04_YAW15_R01,1,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,15.0,111,109,0.9819819819819819,2,78.87099099099099,169.18,0.022489924824565924,0.008281974703682155,0.07565121140319638,0.08292102722225239,111,74,0.08014467557271322,25.135,32.208,1.9938430786132812,0.7891464233398438,0.02009599842131138,0.007116436958312988,0.02131883738694473,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260506_222127_a5df3786,data/logs/phase05_experiments/raw/phase05_20260506_222127_a5df3786_mavlink_visual_servo.csv,fase05,T1,P05_S02_H2_Y04_YAW15,phase05_t0_t1_formal_v1,P05_S02_H2_Y04_YAW15_R02,2,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,15.0,112,110,0.9821428571428571,2,78.02526785714285,142.59,0.0101096604087136,0.008710903405343242,0.07466761906941731,0.0827495286279162,112,74,0.08074723879496257,25.371,32.217,1.9939422607421875,0.7879104614257812,0.017938364704605192,-0.003617703914642334,0.01829952758651009,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260506_222339_fad7e0f2,data/logs/phase05_experiments/raw/phase05_20260506_222339_fad7e0f2_baseline_descent.csv,fase05,T0,P05_S02_H2_Y04_YAW15,phase05_t0_t1_formal_v1,P05_S02_H2_Y04_YAW15_R02,2,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,15.0,72,56,0.7777777777777778,16,101.62944444444445,193.64,0.2774794365678515,0.06748749939505531,0.15222610519045876,0.0194149171802612,72,72,0.0,17.985,25.188,2.0620803833007812,0.798126220703125,0.047717340756207705,-0.4590979814529419,0.46157112256185373,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260506_222538_f7bff17b,data/logs/phase05_experiments/raw/phase05_20260506_222538_f7bff17b_baseline_descent.csv,fase05,T0,P05_S02_H2_Y04_YAW15,phase05_t0_t1_formal_v1,P05_S02_H2_Y04_YAW15_R03,3,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,15.0,69,45,0.6521739130434783,24,119.07275362318842,212.11,0.18049216906229656,0.038119755932970276,0.25043642114709924,0.0251919487887065,69,69,0.0,17.763,25.248,2.0948028564453125,0.7942657470703125,0.079826470464468,-0.35657867789268494,0.36540473302149457,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260506_223142_f52b8e85,data/logs/phase05_experiments/raw/phase05_20260506_223142_f52b8e85_baseline_descent.csv,fase05,T0,P05_S02_H2_Y04_YAW15,phase05_t0_t1_formal_v1,P05_S02_H2_Y04_YAW15_R04,4,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,15.0,69,42,0.6086956521739131,27,135.51666666666665,219.37,0.07789812769208636,0.015348950955974631,0.3055463079422239,0.04282604847575338,69,69,0.0,18.281,25.344,2.08056640625,0.7878265380859375,-0.0022108852863311768,-0.3938702344894409,0.3938764395473744,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260506_223941_15b8da6a,data/logs/phase05_experiments/raw/phase05_20260506_223941_15b8da6a_mavlink_visual_servo.csv,fase05,T1,P05_S02_H2_Y04_YAW15,phase05_t0_t1_formal_v1,P05_S02_H2_Y04_YAW15_R03,3,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,15.0,120,120,1.0,0,76.38325,94.64,0.05727054437001546,0.05149697401150253,0.018490850130716958,0.023223039882675767,120,85,0.04946327209472656,26.882,34.238,2.1644210815429688,0.7991256713867188,-0.013240277767181396,0.016234278678894043,0.02094890831466193,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260506_224144_bda896e4,data/logs/phase05_experiments/raw/phase05_20260506_224144_bda896e4_mavlink_visual_servo.csv,fase05,T1,P05_S02_H2_Y04_YAW15,phase05_t0_t1_formal_v1,P05_S02_H2_Y04_YAW15_R04,4,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,15.0,117,116,0.9914529914529915,1,85.02897435897435,128.51,0.01955128949264,0.024389933192199675,0.07475714573914977,0.07633051449264903,117,75,0.07762870788574219,26.364,33.379,2.1252593994140625,0.7820892333984375,0.009132683277130127,-0.012062668800354004,0.015129900278171241,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260508_232252_383f3956,data/logs/phase05_experiments/raw/phase05_20260508_232252_383f3956_baseline_descent.csv,fase05,T0,P05_S02_H2_Y04_YAW15,phase05_t0_t1_formal_v1,P05_S02_H2_Y04_YAW15_R05,5,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,15.0,66,49,0.7424242424242424,17,114.09651515151515,226.1,0.12028999523240694,0.005792068901269919,0.26507645431829957,0.04734328920790839,66,66,0.0,17.186,25.026,2.1867218017578125,1.044189453125,-0.06897624582052231,-0.31177446246147156,0.3193133851416703,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
phase05_20260508_232456_adf8e39a,data/logs/phase05_experiments/raw/phase05_20260508_232456_adf8e39a_mavlink_visual_servo.csv,fase05,T1,P05_S02_H2_Y04_YAW15,phase05_t0_t1_formal_v1,P05_S02_H2_Y04_YAW15_R05,5,accepted,Meets Phase 05 inclusion criteria.,,2.0,0.0,0.4,15.0,87,87,1.0,0,81.27275862068966,220.16,0.07236132128485318,0.05155073197741209,0.043522237726555016,0.050136331994535085,87,49,0.04725661277770996,19.345,27.139,1.9473724365234375,1.0382843017578125,-0.02181869000196457,0.0025945305824279785,0.021972410480986894,True,True,False,,land_complete,LOITER,False,landing,landing,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
