scenario_id,treatment,accepted_runs,expected_runs,missing_runs,complete
P05_S01_H2_Y04_YAW0,T0,10,10,0,True
P05_S01_H2_Y04_YAW0,T1,10,10,0,True
P05_S02_H2_Y04_YAW15,T0,10,10,0,True
P05_S02_H2_Y04_YAW15,T1,10,10,0,True
P05_S03_H2_Y08_YAW0,T0,10,10,0,True
P05_S03_H2_Y08_YAW0,T1,10,10,0,True
P05_S04_H2_Y08_YAW15,T0,10,10,0,True
P05_S04_H2_Y08_YAW15,T1,10,10,0,True
P05_S05_H3_Y04_YAW0,T0,10,10,0,True
P05_S05_H3_Y04_YAW0,T1,10,10,0,True
P05_S06_H3_Y04_YAW15,T0,10,10,0,True
P05_S06_H3_Y04_YAW15,T1,10,10,0,True
P05_S07_H3_Y08_YAW0,T0,10,10,0,True
P05_S07_H3_Y08_YAW0,T1,10,10,0,True
P05_S08_H3_Y08_YAW15,T0,10,10,0,True
P05_S08_H3_Y08_YAW15,T1,10,10,0,True
