scenario_id,treatment_pair_id,repetition,t0_run_id,t1_run_id,final_error_m_t0,final_error_m_t1,final_error_m_delta_t0_minus_t1,landing_time_s_t0,landing_time_s_t1,landing_time_s_delta_t0_minus_t1,accepted_detection_rate_t0,accepted_detection_rate_t1,accepted_detection_rate_delta_t1_minus_t0
P05_S01_H2_Y04_YAW0,P05_S01_H2_Y04_YAW0_R01,1,phase05_20260505_164143_5ec5680e,phase05_20260505_164539_85f27d44,0.40773792686669474,0.026292318193054033,0.3814456086736407,20.738,26.795,-6.057000000000002,0.8255813953488372,0.9915966386554622,0.16601524330662498
P05_S01_H2_Y04_YAW0,P05_S01_H2_Y04_YAW0_R02,2,phase05_20260505_165111_feb19818,phase05_20260505_164848_2e00f2f9,0.37839099747180455,0.02434166103485566,0.3540493364369489,19.73,28.23,-8.5,0.8536585365853658,0.9920634920634921,0.13840495547812626
P05_S01_H2_Y04_YAW0,P05_S01_H2_Y04_YAW0_R03,3,phase05_20260505_165322_bd0f0c54,phase05_20260505_165530_d9672e22,0.500196630780288,0.009886072741900367,0.49031055803838763,20.005,25.387,-5.3820000000000014,0.7875,0.9821428571428571,0.19464285714285712
P05_S01_H2_Y04_YAW0,P05_S01_H2_Y04_YAW0_R04,4,phase05_20260505_170004_fe1e3d39,phase05_20260505_165745_2f6b6a6b,0.398478557683397,0.005942043821812872,0.39253651386158417,19.487,26.942,-7.455000000000002,0.8148148148148148,0.9916666666666667,0.17685185185185193
P05_S01_H2_Y04_YAW0,P05_S01_H2_Y04_YAW0_R05,5,phase05_20260505_170604_78ce63e2,phase05_20260505_170905_3196fab0,0.3593089813669673,0.022933341704179103,0.3363756396627882,20.899,29.046,-8.146999999999998,0.872093023255814,0.9846153846153847,0.11252236135957072
P05_S01_H2_Y04_YAW0,P05_S01_H2_Y04_YAW0_R06,6,phase05_20260505_171508_8d09c7cd,phase05_20260505_171329_70a51954,0.3741737846473946,0.019987786656359,0.3541859979910356,19.226,27.201,-7.975000000000001,0.875,0.9834710743801653,0.10847107438016534
P05_S01_H2_Y04_YAW0,P05_S01_H2_Y04_YAW0_R07,7,phase05_20260505_171646_b0d3f4a0,phase05_20260505_171818_30801bff,0.3655349640856506,0.03710405963405995,0.3284309044515907,19.383,25.189,-5.806000000000001,0.8947368421052632,0.972972972972973,0.07823613086770986
P05_S01_H2_Y04_YAW0,P05_S01_H2_Y04_YAW0_R08,8,phase05_20260505_172209_d6f7df3f,phase05_20260505_172001_9faa9dc1,0.40603209568276477,0.02192940894205554,0.38410268674070924,19.663,25.212,-5.5489999999999995,0.8461538461538461,0.990990990990991,0.14483714483714483
P05_S01_H2_Y04_YAW0,P05_S01_H2_Y04_YAW0_R09,9,phase05_20260505_204624_a0d2f963,phase05_20260505_204943_14fa9d91,0.41719938728258366,0.0223781953837506,0.3948211918988331,18.006,26.262,-8.256,0.821917808219178,1.0,0.17808219178082196
P05_S01_H2_Y04_YAW0,P05_S01_H2_Y04_YAW0_R10,10,phase05_20260505_205624_6dc3309e,phase05_20260505_205420_2950f2f8,0.38992874216926077,0.014540182672167787,0.375388559497093,19.6,27.887,-8.286999999999999,0.8271604938271605,1.0,0.1728395061728395
P05_S02_H2_Y04_YAW15,P05_S02_H2_Y04_YAW15_R01,1,phase05_20260505_212244_60e653af,phase05_20260506_220836_6d1110a0,0.39230125249165965,0.02131883738694473,0.3709824151047149,18.915,25.135,-6.220000000000002,0.6301369863013698,0.9819819819819819,0.3518449956806121
