run_index,scenario_id,treatment,treatment_pair_id,repetition,initial_height_m,offset_x_m,offset_y_m,yaw_deg,duration_s,marker_object_name
1,P05_S01_H2_Y04_YAW0,T0,P05_S01_H2_Y04_YAW0_R01,1,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r01_t0
2,P05_S01_H2_Y04_YAW0,T1,P05_S01_H2_Y04_YAW0_R01,1,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r01_t1
3,P05_S01_H2_Y04_YAW0,T1,P05_S01_H2_Y04_YAW0_R02,2,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r02_t1
4,P05_S01_H2_Y04_YAW0,T0,P05_S01_H2_Y04_YAW0_R02,2,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r02_t0
5,P05_S01_H2_Y04_YAW0,T0,P05_S01_H2_Y04_YAW0_R03,3,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r03_t0
6,P05_S01_H2_Y04_YAW0,T1,P05_S01_H2_Y04_YAW0_R03,3,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r03_t1
7,P05_S01_H2_Y04_YAW0,T1,P05_S01_H2_Y04_YAW0_R04,4,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r04_t1
8,P05_S01_H2_Y04_YAW0,T0,P05_S01_H2_Y04_YAW0_R04,4,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r04_t0
9,P05_S01_H2_Y04_YAW0,T0,P05_S01_H2_Y04_YAW0_R05,5,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r05_t0
10,P05_S01_H2_Y04_YAW0,T1,P05_S01_H2_Y04_YAW0_R05,5,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r05_t1
11,P05_S01_H2_Y04_YAW0,T1,P05_S01_H2_Y04_YAW0_R06,6,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r06_t1
12,P05_S01_H2_Y04_YAW0,T0,P05_S01_H2_Y04_YAW0_R06,6,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r06_t0
13,P05_S01_H2_Y04_YAW0,T0,P05_S01_H2_Y04_YAW0_R07,7,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r07_t0
14,P05_S01_H2_Y04_YAW0,T1,P05_S01_H2_Y04_YAW0_R07,7,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r07_t1
15,P05_S01_H2_Y04_YAW0,T1,P05_S01_H2_Y04_YAW0_R08,8,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r08_t1
16,P05_S01_H2_Y04_YAW0,T0,P05_S01_H2_Y04_YAW0_R08,8,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r08_t0
17,P05_S01_H2_Y04_YAW0,T0,P05_S01_H2_Y04_YAW0_R09,9,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r09_t0
18,P05_S01_H2_Y04_YAW0,T1,P05_S01_H2_Y04_YAW0_R09,9,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r09_t1
19,P05_S01_H2_Y04_YAW0,T1,P05_S01_H2_Y04_YAW0_R10,10,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r10_t1
20,P05_S01_H2_Y04_YAW0,T0,P05_S01_H2_Y04_YAW0_R10,10,2.0,0.0,0.4,0.0,40.0,phase05_s01_h2_y04_yaw0_r10_t0
21,P05_S02_H2_Y04_YAW15,T0,P05_S02_H2_Y04_YAW15_R01,1,2.0,0.0,0.4,15.0,40.0,phase05_s02_h2_y04_yaw15_r01_t0
22,P05_S02_H2_Y04_YAW15,T1,P05_S02_H2_Y04_YAW15_R01,1,2.0,0.0,0.4,15.0,40.0,phase05_s02_h2_y04_yaw15_r01_t1
23,P05_S02_H2_Y04_YAW15,T1,P05_S02_H2_Y04_YAW15_R02,2,2.0,0.0,0.4,15.0,40.0,phase05_s02_h2_y04_yaw15_r02_t1
24,P05_S02_H2_Y04_YAW15,T0,P05_S02_H2_Y04_YAW15_R02,2,2.0,0.0,0.4,15.0,40.0,phase05_s02_h2_y04_yaw15_r02_t0
25,P05_S02_H2_Y04_YAW15,T0,P05_S02_H2_Y04_YAW15_R03,3,2.0,0.0,0.4,15.0,40.0,phase05_s02_h2_y04_yaw15_r03_t0
26,P05_S02_H2_Y04_YAW15,T1,P05_S02_H2_Y04_YAW15_R03,3,2.0,0.0,0.4,15.0,40.0,phase05_s02_h2_y04_yaw15_r03_t1
27,P05_S02_H2_Y04_YAW15,T1,P05_S02_H2_Y04_YAW15_R04,4,2.0,0.0,0.4,15.0,40.0,phase05_s02_h2_y04_yaw15_r04_t1
28,P05_S02_H2_Y04_YAW15,T0,P05_S02_H2_Y04_YAW15_R04,4,2.0,0.0,0.4,15.0,40.0,phase05_s02_h2_y04_yaw15_r04_t0
29,P05_S02_H2_Y04_YAW15,T0,P05_S02_H2_Y04_YAW15_R05,5,2.0,0.0,0.4,15.0,40.0,phase05_s02_h2_y04_yaw15_r05_t0
30,P05_S02_H2_Y04_YAW15,T1,P05_S02_H2_Y04_YAW15_R05,5,2.0,0.0,0.4,15.0,40.0,phase05_s02_h2_y04_yaw15_r05_t1
31,P05_S02_H2_Y04_YAW15,T1,P05_S02_H2_Y04_YAW15_R06,6,2.0,0.0,0.4,15.0,40.0,phase05_s02_h2_y04_yaw15_r06_t1
