category,check,status,observed,expected,detail
input_files,accepted_runs_exists,OK,outputs/tables/phase05_experiments/phase05_accepted_runs.csv,existing file,
input_files,pairwise_differences_exists,OK,outputs/tables/phase05_experiments/phase05_pairwise_differences.csv,existing file,
input_files,scenario_summary_exists,OK,outputs/tables/phase05_experiments/phase05_scenario_treatment_summary.csv,existing file,
input_files,formal_report_exists,OK,outputs/tables/phase05_experiments/phase05_formal_report.md,existing file,
accepted_runs,accepted_run_count,OK,160,160,
accepted_runs,run_id_uniqueness,OK,"160 non-empty, 0 duplicates",all rows with unique run_id,
accepted_runs,scenario_treatment_fields,OK,0,0,Rows missing scenario or treatment.
accepted_runs,S01_T0_repetitions,OK,10,10,
accepted_runs,S01_T1_repetitions,OK,10,10,
accepted_runs,S02_T0_repetitions,OK,10,10,
accepted_runs,S02_T1_repetitions,OK,10,10,
accepted_runs,S03_T0_repetitions,OK,10,10,
accepted_runs,S03_T1_repetitions,OK,10,10,
accepted_runs,S04_T0_repetitions,OK,10,10,
accepted_runs,S04_T1_repetitions,OK,10,10,
accepted_runs,S05_T0_repetitions,OK,10,10,
accepted_runs,S05_T1_repetitions,OK,10,10,
accepted_runs,S06_T0_repetitions,OK,10,10,
accepted_runs,S06_T1_repetitions,OK,10,10,
accepted_runs,S07_T0_repetitions,OK,10,10,
accepted_runs,S07_T1_repetitions,OK,10,10,
accepted_runs,S08_T0_repetitions,OK,10,10,
accepted_runs,S08_T1_repetitions,OK,10,10,
accepted_runs,status_values_documented,OK,"{""accepted"": 160}",status column present when available,Useful for accepted/excluded/superseded traceability.
pairwise_differences,pair_count,OK,80,80,
pairwise_differences,pair_id_uniqueness,OK,"80 non-empty, 0 duplicates",unique pair_id when present,
pairwise_differences,pair_scenario_field,OK,0,0,
pairwise_differences,S01_pairs,OK,10,10,
pairwise_differences,S02_pairs,OK,10,10,
pairwise_differences,S03_pairs,OK,10,10,
pairwise_differences,S04_pairs,OK,10,10,
pairwise_differences,S05_pairs,OK,10,10,
pairwise_differences,S06_pairs,OK,10,10,
pairwise_differences,S07_pairs,OK,10,10,
pairwise_differences,S08_pairs,OK,10,10,
pairwise_differences,t0_t1_columns_present,OK,"T0=7, T1=7",columns referencing both T0 and T1,"T0 columns: t0_run_id, final_error_m_t0, final_error_m_delta_t0_minus_t1, landing_time_s_t0, landing_time_s_delta_t0_minus_t1, accepted_detection_rate_t0, accepted_detection_rate_delta_t1_minus_t0; T1 columns: t1_run_id, final_error_m_t1, final_error_m_delta_t0_minus_t1, landing_time_s_t1, landing_time_s_delta_t0_minus_t1, accepted_detection_rate_t1, accepted_detection_rate_delta_t1_minus_t0"
scenario_summary,all_scenarios_present,OK,"S01, S02, S03, S04, S05, S06, S07, S08","S01, S02, S03, S04, S05, S06, S07, S08",
