category,rank,run_id,scenario_short,scenario_id,treatment,treatment_pair_id,repetition,value,threshold,final_error_m,landing_time_s,accepted_detection_rate,lost_detection_count,latency_ms_mean,latency_ms_max,max_abs_horizontal_command_m_s,terminal_event,terminal_status,aborted,notes
highest_final_error,1,phase05_20260608_130247_e28ac4f0,S07,P05_S07_H3_Y08_YAW0,T0,P05_S07_H3_Y08_YAW0_R09,9,0.8894510044738692,0.7790241781680624,0.8894510044738692,28.527,0.8103448275862069,22,124.47362068965518,341.8,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,2,phase05_20260509_000310_08ba7fc5,S03,P05_S03_H2_Y08_YAW0,T0,P05_S03_H2_Y08_YAW0_R01,1,0.8578794072651086,0.7790241781680624,0.8578794072651086,15.359,0.6481481481481481,19,136.86185185185184,252.3,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,3,phase05_20260607_233910_4a8cd7ec,S06,P05_S06_H3_Y04_YAW15,T0,P05_S06_H3_Y04_YAW15_R01,1,0.8462515876111237,0.7790241781680624,0.8462515876111237,29.531,0.6616541353383458,45,92.71406015037593,201.78,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,4,phase05_20260607_201947_00bacbf8,S04,P05_S04_H2_Y08_YAW15,T0,P05_S04_H2_Y08_YAW15_R05,5,0.8419657493635678,0.7790241781680624,0.8419657493635678,14.449,0.34615384615384615,34,136.49096153846153,205.0,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,5,phase05_20260607_210540_4e06679b,S04,P05_S04_H2_Y08_YAW15,T0,P05_S04_H2_Y08_YAW15_R09,9,0.8312007365738536,0.7790241781680624,0.8312007365738536,15.007,0.32075471698113206,36,143.5011320754717,209.96,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,6,phase05_20260509_005615_8743cfbe,S03,P05_S03_H2_Y08_YAW0,T0,P05_S03_H2_Y08_YAW0_R07,7,0.8274030602716206,0.7790241781680624,0.8274030602716206,15.463,0.660377358490566,18,144.58735849056603,409.87,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,7,phase05_20260509_011732_05fe4345,S03,P05_S03_H2_Y08_YAW0,T0,P05_S03_H2_Y08_YAW0_R10,10,0.8145905890242318,0.7790241781680624,0.8145905890242318,11.452,0.22857142857142856,27,201.2222857142857,314.83,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,8,phase05_20260509_213059_1d49740f,S04,P05_S04_H2_Y08_YAW15,T0,P05_S04_H2_Y08_YAW15_R04,4,0.8102248264813018,0.7790241781680624,0.8102248264813018,15.016,0.5555555555555556,20,194.828,358.88,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,9,phase05_20260608_104943_84c26529,S07,P05_S07_H3_Y08_YAW0,T0,P05_S07_H3_Y08_YAW0_R01,1,0.807387433085792,0.7790241781680624,0.807387433085792,28.801,0.85,18,118.60141666666667,315.22,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
highest_final_error,10,phase05_20260509_004101_41d9cbae,S03,P05_S03_H2_Y08_YAW0,T0,P05_S03_H2_Y08_YAW0_R05,5,0.8051358191348175,0.7790241781680624,0.8051358191348175,15.62,0.6792452830188679,17,140.34396226415095,402.04,0.0,land_complete,landing,False,"requested_LAND_px4_mode=base=29,custom=4,sub=6; requested_LOITER_px4_mode=base=29,custom=4,sub=3; heartbeat=base_mode=29,custom_mode=50593792,px4_main_mode=4,px4_sub_mode=3"
