scope,scenario_short,scenario_id,metric,n,mean,median,sd,min,q1,q3,max,direction
global,ALL,,final_error_m_delta_t0_minus_t1,80,0.5624918107810839,0.6602369064638849,0.19728752736939448,0.2646806864157332,0.3592626763391891,0.7472206620614343,0.8567916223080849,T1 lower final error
global,ALL,,landing_time_s_delta_t0_minus_t1,80,-8.2498125,-8.417,2.664936976924785,-14.879999999999995,-9.772250000000001,-6.985500000000001,0.8389999999999986,T1 longer landing time
global,ALL,,accepted_detection_rate_delta_t1_minus_t0,80,0.30892801656140106,0.2518037518037518,0.22863977421567303,0.02752293577981646,0.14629455909943717,0.38264585655890004,1.0,T1 higher detection rate
scenario,S01,P05_S01_H2_Y04_YAW0,final_error_m_delta_t0_minus_t1,10,0.3791646997252611,0.37841708408536684,0.04531460046091267,0.3284309044515907,0.3540835018254706,0.3904280570813654,0.49031055803838763,T1 lower final error
scenario,S01,P05_S01_H2_Y04_YAW0,landing_time_s_delta_t0_minus_t1,10,-7.141400000000001,-7.715000000000002,1.2821611269866022,-8.5,-8.22875,-5.868750000000001,-5.3820000000000014,T1 longer landing time
scenario,S01,P05_S01_H2_Y04_YAW0,accepted_detection_rate_delta_t1_minus_t0,10,0.14709033171777125,0.1554261940718849,0.03747067535963347,0.07823613086770986,0.1189930098892096,0.17584876543209882,0.19464285714285712,T1 higher detection rate
scenario,S02,P05_S02_H2_Y04_YAW15,final_error_m_delta_t0_minus_t1,10,0.36286697863529677,0.3724758168306035,0.045380517938411025,0.2973409746606834,0.3310399438922983,0.3870814766622676,0.44327159497534363,T1 lower final error
scenario,S02,P05_S02_H2_Y04_YAW15,landing_time_s_delta_t0_minus_t1,10,-7.007,-7.234499999999999,2.106099818252792,-9.550999999999998,-8.27125,-6.20125,-2.158999999999999,T1 longer landing time
scenario,S02,P05_S02_H2_Y04_YAW15,accepted_detection_rate_delta_t1_minus_t0,10,0.2870499231635449,0.2758467023172905,0.08303270446093075,0.16279069767441856,0.22287581699346407,0.3508402684995895,0.40909090909090906,T1 higher detection rate
scenario,S03,P05_S03_H2_Y08_YAW0,final_error_m_delta_t0_minus_t1,10,0.7652492870032521,0.753713143725665,0.03701190927652401,0.7187520424965284,0.7387714106556799,0.7892378050706763,0.825648735084934,T1 lower final error
scenario,S03,P05_S03_H2_Y08_YAW0,landing_time_s_delta_t0_minus_t1,10,-10.451,-9.997000000000002,1.5827238827062946,-14.064,-11.228750000000002,-9.25025,-8.908,T1 longer landing time
scenario,S03,P05_S03_H2_Y08_YAW0,accepted_detection_rate_delta_t1_minus_t0,10,0.6156537970635834,0.6107142857142858,0.2813172602555219,0.3207547169811321,0.3475783475783476,0.7912404092071612,1.0,T1 higher detection rate
